"geneDescr"	"clGeneIds"	"aaGenePartitions"	"ntGenePartitions"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.5110,fig|Bacteroides_2_1_22.peg.3356,fig|Bacteroides_2_2_4.peg.3406,fig|Bacteroides_3_1_23.peg.4037,fig|Bacteroides_D1.peg.4707,fig|Bacteroides_D22.peg.4979,fig|Bacteroides_D2.peg.3607,fig|Bacteroides_ovatus_3_8_47FAA.peg.3291,fig|Bacteroides_ovatus_ATCC_8483.peg.4909,fig|Bacteroides_ovatus_CL03T12C18.peg.3529,fig|Bacteroides_ovatus_SD_CC_2a.peg.4898,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2902,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3069,fig|Bacteroides_xylanisolvens_XB1A.peg.4727,fig|Bovatus_CL02T12C04.peg.6321,fig|Bovatus_NLAE-zl-C11.peg.4165,fig|Bovatus_NLAE-zl-C34.peg.4253,fig|Bovatus_NLAE-zl-H304.peg.5543,fig|Bovatus_NLAE-zl-H361.peg.5021,fig|Bovatus_NLAE-zl-H59.peg.5868,fig|Bovatus_NLAE-zl-H73.peg.5865,fig|Bxylanisolvens_CL03T12C04.peg.4699,fig|Bxylanisolvens_NLAE-zl-C182.peg.4491,fig|Bxylanisolvens_NLAE-zl-C29.peg.4560,fig|Bxylanisolvens_NLAE-zl-C339.peg.4510,fig|Bxylanisolvens_NLAE-zl-G310.peg.4713,fig|Bxylanisolvens_NLAE-zl-G421.peg.4713,fig|Bxylanisolvens_NLAE-zl-H194.peg.4551,fig|Bxylanisolvens_NLAE-zl-P352.peg.4664,fig|Bxylanisolvens_NLAE-zl-P393.peg.4664,fig|Bxylanisolvens_NLAE-zl-P727.peg.4665,fig|Bxylanisolvens_NLAE-zl-P732.peg.4668,fig|Bxylanisolvens_NLAE-zl-P736.peg.5270"	"1-1533"	"1-4599"
"Beta-galactosidase"	"fig|Bacteroides_1_1_30.peg.391,fig|Bacteroides_2_1_22.peg.89,fig|Bacteroides_2_2_4.peg.673,fig|Bacteroides_3_1_23.peg.1073,fig|Bacteroides_D1.peg.1516,fig|Bacteroides_D22.peg.617,fig|Bacteroides_D2.peg.1918,fig|Bacteroides_ovatus_3_8_47FAA.peg.964,fig|Bacteroides_ovatus_ATCC_8483.peg.65,fig|Bacteroides_ovatus_CL03T12C18.peg.47,fig|Bacteroides_ovatus_SD_CC_2a.peg.380,fig|Bacteroides_ovatus_SD_CMC_3f.peg.579,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.352,fig|Bacteroides_xylanisolvens_XB1A.peg.368,fig|Bovatus_CL02T12C04.peg.100,fig|Bovatus_NLAE-zl-C11.peg.364,fig|Bovatus_NLAE-zl-C34.peg.365,fig|Bovatus_NLAE-zl-H304.peg.905,fig|Bovatus_NLAE-zl-H361.peg.732,fig|Bovatus_NLAE-zl-H59.peg.851,fig|Bovatus_NLAE-zl-H73.peg.1075,fig|Bxylanisolvens_CL03T12C04.peg.596,fig|Bxylanisolvens_NLAE-zl-C182.peg.407,fig|Bxylanisolvens_NLAE-zl-C29.peg.437,fig|Bxylanisolvens_NLAE-zl-C339.peg.407,fig|Bxylanisolvens_NLAE-zl-G310.peg.498,fig|Bxylanisolvens_NLAE-zl-G421.peg.497,fig|Bxylanisolvens_NLAE-zl-H194.peg.439,fig|Bxylanisolvens_NLAE-zl-P352.peg.502,fig|Bxylanisolvens_NLAE-zl-P393.peg.501,fig|Bxylanisolvens_NLAE-zl-P727.peg.471,fig|Bxylanisolvens_NLAE-zl-P732.peg.500,fig|Bxylanisolvens_NLAE-zl-P736.peg.620"	"1534-2939"	"4600-8817"
"Sensor histidine kinase TodS"	"fig|Bacteroides_1_1_30.peg.4225,fig|Bacteroides_2_1_22.peg.802,fig|Bacteroides_2_2_4.peg.4346,fig|Bacteroides_3_1_23.peg.4942,fig|Bacteroides_D1.peg.3700,fig|Bacteroides_D22.peg.3928,fig|Bacteroides_D2.peg.4380,fig|Bacteroides_ovatus_3_8_47FAA.peg.4107,fig|Bacteroides_ovatus_ATCC_8483.peg.3568,fig|Bacteroides_ovatus_CL03T12C18.peg.4505,fig|Bacteroides_ovatus_SD_CC_2a.peg.3759,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1698,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4120,fig|Bacteroides_xylanisolvens_XB1A.peg.3687,fig|Bovatus_CL02T12C04.peg.5224,fig|Bovatus_NLAE-zl-C11.peg.3327,fig|Bovatus_NLAE-zl-C34.peg.3050,fig|Bovatus_NLAE-zl-H304.peg.4525,fig|Bovatus_NLAE-zl-H361.peg.4008,fig|Bovatus_NLAE-zl-H59.peg.4908,fig|Bovatus_NLAE-zl-H73.peg.4923,fig|Bxylanisolvens_CL03T12C04.peg.3753,fig|Bxylanisolvens_NLAE-zl-C182.peg.3722,fig|Bxylanisolvens_NLAE-zl-C29.peg.3454,fig|Bxylanisolvens_NLAE-zl-C339.peg.3734,fig|Bxylanisolvens_NLAE-zl-G310.peg.3874,fig|Bxylanisolvens_NLAE-zl-G421.peg.3884,fig|Bxylanisolvens_NLAE-zl-H194.peg.3460,fig|Bxylanisolvens_NLAE-zl-P352.peg.3611,fig|Bxylanisolvens_NLAE-zl-P393.peg.3764,fig|Bxylanisolvens_NLAE-zl-P727.peg.3385,fig|Bxylanisolvens_NLAE-zl-P732.peg.3657,fig|Bxylanisolvens_NLAE-zl-P736.peg.4354"	"2940-4292"	"8818-12876"
"Sensor histidine kinase TodS"	"fig|Bacteroides_1_1_30.peg.2830,fig|Bacteroides_2_1_22.peg.2870,fig|Bacteroides_2_2_4.peg.2881,fig|Bacteroides_3_1_23.peg.3489,fig|Bacteroides_D1.peg.2656,fig|Bacteroides_D22.peg.2740,fig|Bacteroides_D2.peg.3075,fig|Bacteroides_ovatus_3_8_47FAA.peg.2833,fig|Bacteroides_ovatus_ATCC_8483.peg.2386,fig|Bacteroides_ovatus_CL03T12C18.peg.3027,fig|Bacteroides_ovatus_SD_CC_2a.peg.2557,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4393,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2570,fig|Bacteroides_xylanisolvens_XB1A.peg.2526,fig|Bovatus_CL02T12C04.peg.3322,fig|Bovatus_NLAE-zl-C11.peg.2219,fig|Bovatus_NLAE-zl-C34.peg.2306,fig|Bovatus_NLAE-zl-H304.peg.3177,fig|Bovatus_NLAE-zl-H361.peg.2732,fig|Bovatus_NLAE-zl-H59.peg.3509,fig|Bovatus_NLAE-zl-H73.peg.3497,fig|Bxylanisolvens_CL03T12C04.peg.2426,fig|Bxylanisolvens_NLAE-zl-C182.peg.2499,fig|Bxylanisolvens_NLAE-zl-C29.peg.2360,fig|Bxylanisolvens_NLAE-zl-C339.peg.2551,fig|Bxylanisolvens_NLAE-zl-G310.peg.2551,fig|Bxylanisolvens_NLAE-zl-G421.peg.2557,fig|Bxylanisolvens_NLAE-zl-H194.peg.2391,fig|Bxylanisolvens_NLAE-zl-P352.peg.2353,fig|Bxylanisolvens_NLAE-zl-P393.peg.2590,fig|Bxylanisolvens_NLAE-zl-P727.peg.2177,fig|Bxylanisolvens_NLAE-zl-P732.peg.2448,fig|Bxylanisolvens_NLAE-zl-P736.peg.2951"	"4293-5645"	"12877-16935"
"DNA polymerase III subunit alpha"	"fig|Bacteroides_1_1_30.peg.1125,fig|Bacteroides_2_1_22.peg.1554,fig|Bacteroides_2_2_4.peg.1265,fig|Bacteroides_3_1_23.peg.2672,fig|Bacteroides_D1.peg.493,fig|Bacteroides_D22.peg.1231,fig|Bacteroides_D2.peg.935,fig|Bacteroides_ovatus_3_8_47FAA.peg.1320,fig|Bacteroides_ovatus_ATCC_8483.peg.1141,fig|Bacteroides_ovatus_CL03T12C18.peg.1434,fig|Bacteroides_ovatus_SD_CC_2a.peg.1035,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3082,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1045,fig|Bacteroides_xylanisolvens_XB1A.peg.1028,fig|Bovatus_CL02T12C04.peg.759,fig|Bovatus_NLAE-zl-C11.peg.848,fig|Bovatus_NLAE-zl-C34.peg.851,fig|Bovatus_NLAE-zl-H304.peg.1418,fig|Bovatus_NLAE-zl-H361.peg.1208,fig|Bovatus_NLAE-zl-H59.peg.1353,fig|Bovatus_NLAE-zl-H73.peg.1582,fig|Bxylanisolvens_CL03T12C04.peg.1013,fig|Bxylanisolvens_NLAE-zl-C182.peg.1038,fig|Bxylanisolvens_NLAE-zl-C29.peg.936,fig|Bxylanisolvens_NLAE-zl-C339.peg.1037,fig|Bxylanisolvens_NLAE-zl-G310.peg.1259,fig|Bxylanisolvens_NLAE-zl-G421.peg.1256,fig|Bxylanisolvens_NLAE-zl-H194.peg.1074,fig|Bxylanisolvens_NLAE-zl-P352.peg.983,fig|Bxylanisolvens_NLAE-zl-P393.peg.961,fig|Bxylanisolvens_NLAE-zl-P727.peg.931,fig|Bxylanisolvens_NLAE-zl-P732.peg.961,fig|Bxylanisolvens_NLAE-zl-P736.peg.1153"	"5646-6913"	"16936-20739"
"Isoleucine--tRNA ligase"	"fig|Bacteroides_1_1_30.peg.557,fig|Bacteroides_2_1_22.peg.1314,fig|Bacteroides_2_2_4.peg.474,fig|Bacteroides_3_1_23.peg.1443,fig|Bacteroides_D1.peg.442,fig|Bacteroides_D22.peg.778,fig|Bacteroides_D2.peg.607,fig|Bacteroides_ovatus_3_8_47FAA.peg.605,fig|Bacteroides_ovatus_ATCC_8483.peg.222,fig|Bacteroides_ovatus_CL03T12C18.peg.211,fig|Bacteroides_ovatus_SD_CC_2a.peg.559,fig|Bacteroides_ovatus_SD_CMC_3f.peg.734,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.539,fig|Bacteroides_xylanisolvens_XB1A.peg.545,fig|Bovatus_CL02T12C04.peg.1330,fig|Bovatus_NLAE-zl-C11.peg.526,fig|Bovatus_NLAE-zl-C34.peg.527,fig|Bovatus_NLAE-zl-H304.peg.783,fig|Bovatus_NLAE-zl-H361.peg.651,fig|Bovatus_NLAE-zl-H59.peg.509,fig|Bovatus_NLAE-zl-H73.peg.529,fig|Bxylanisolvens_CL03T12C04.peg.368,fig|Bxylanisolvens_NLAE-zl-C182.peg.569,fig|Bxylanisolvens_NLAE-zl-C29.peg.595,fig|Bxylanisolvens_NLAE-zl-C339.peg.569,fig|Bxylanisolvens_NLAE-zl-G310.peg.675,fig|Bxylanisolvens_NLAE-zl-G421.peg.674,fig|Bxylanisolvens_NLAE-zl-H194.peg.596,fig|Bxylanisolvens_NLAE-zl-P352.peg.337,fig|Bxylanisolvens_NLAE-zl-P393.peg.336,fig|Bxylanisolvens_NLAE-zl-P727.peg.306,fig|Bxylanisolvens_NLAE-zl-P732.peg.335,fig|Bxylanisolvens_NLAE-zl-P736.peg.414"	"6914-8085"	"20740-24255"
"hypothetical protein Tricorn protease homolog 1"	"fig|Bacteroides_1_1_30.peg.4585,fig|Bacteroides_2_1_22.peg.4334,fig|Bacteroides_2_2_4.peg.5124,fig|Bacteroides_3_1_23.peg.2216,fig|Bacteroides_D1.peg.4110,fig|Bacteroides_D22.peg.4483,fig|Bacteroides_D2.peg.4821,fig|Bacteroides_ovatus_3_8_47FAA.peg.4657,fig|Bacteroides_ovatus_ATCC_8483.peg.4132,fig|Bacteroides_ovatus_CL03T12C18.peg.5091,fig|Bacteroides_ovatus_SD_CC_2a.peg.4274,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2389,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4576,fig|Bacteroides_xylanisolvens_XB1A.peg.4275,fig|Bovatus_CL02T12C04.peg.5821,fig|Bovatus_NLAE-zl-C11.peg.3656,fig|Bovatus_NLAE-zl-C34.peg.3745,fig|Bovatus_NLAE-zl-H304.peg.4996,fig|Bovatus_NLAE-zl-H361.peg.4432,fig|Bovatus_NLAE-zl-H59.peg.5357,fig|Bovatus_NLAE-zl-H73.peg.5380,fig|Bxylanisolvens_CL03T12C04.peg.4294,fig|Bxylanisolvens_NLAE-zl-C182.peg.4032,fig|Bxylanisolvens_NLAE-zl-C29.peg.3981,fig|Bxylanisolvens_NLAE-zl-C339.peg.4044,fig|Bxylanisolvens_NLAE-zl-G310.peg.4202,fig|Bxylanisolvens_NLAE-zl-G421.peg.4200,fig|Bxylanisolvens_NLAE-zl-H194.peg.3848,fig|Bxylanisolvens_NLAE-zl-P352.peg.4134,fig|Bxylanisolvens_NLAE-zl-P393.peg.1340,fig|Bxylanisolvens_NLAE-zl-P727.peg.3926,fig|Bxylanisolvens_NLAE-zl-P732.peg.4200,fig|Bxylanisolvens_NLAE-zl-P736.peg.4750"	"8086-9262"	"24256-27786"
"TonB dependent receptor"	"fig|Bacteroides_1_1_30.peg.2376,fig|Bacteroides_2_1_22.peg.2447,fig|Bacteroides_2_2_4.peg.2265,fig|Bacteroides_3_1_23.peg.322,fig|Bacteroides_D1.peg.2018,fig|Bacteroides_D22.peg.2304,fig|Bacteroides_D2.peg.2565,fig|Bacteroides_ovatus_3_8_47FAA.peg.2341,fig|Bacteroides_ovatus_ATCC_8483.peg.1903,fig|Bacteroides_ovatus_CL03T12C18.peg.2462,fig|Bacteroides_ovatus_SD_CC_2a.peg.2046,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3811,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2045,fig|Bacteroides_xylanisolvens_XB1A.peg.1959,fig|Bovatus_CL02T12C04.peg.2639,fig|Bovatus_NLAE-zl-C11.peg.1714,fig|Bovatus_NLAE-zl-C34.peg.1859,fig|Bovatus_NLAE-zl-H304.peg.2716,fig|Bovatus_NLAE-zl-H361.peg.2276,fig|Bovatus_NLAE-zl-H59.peg.2744,fig|Bovatus_NLAE-zl-H73.peg.2745,fig|Bxylanisolvens_CL03T12C04.peg.1925,fig|Bxylanisolvens_NLAE-zl-C182.peg.2064,fig|Bxylanisolvens_NLAE-zl-C29.peg.1920,fig|Bxylanisolvens_NLAE-zl-C339.peg.2062,fig|Bxylanisolvens_NLAE-zl-G310.peg.2085,fig|Bxylanisolvens_NLAE-zl-G421.peg.2091,fig|Bxylanisolvens_NLAE-zl-H194.peg.1953,fig|Bxylanisolvens_NLAE-zl-P352.peg.1939,fig|Bxylanisolvens_NLAE-zl-P393.peg.2123,fig|Bxylanisolvens_NLAE-zl-P727.peg.1681,fig|Bxylanisolvens_NLAE-zl-P732.peg.1983,fig|Bxylanisolvens_NLAE-zl-P736.peg.2422"	"9263-10416"	"27787-31248"
"Efflux pump membrane transporter BepE"	"fig|Bacteroides_1_1_30.peg.2850,fig|Bacteroides_2_1_22.peg.2874,fig|Bacteroides_2_2_4.peg.2902,fig|Bacteroides_3_1_23.peg.3510,fig|Bacteroides_D1.peg.2660,fig|Bacteroides_D22.peg.2761,fig|Bacteroides_D2.peg.3096,fig|Bacteroides_ovatus_3_8_47FAA.peg.2837,fig|Bacteroides_ovatus_ATCC_8483.peg.2390,fig|Bacteroides_ovatus_CL03T12C18.peg.3031,fig|Bacteroides_ovatus_SD_CC_2a.peg.2561,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4414,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2574,fig|Bacteroides_xylanisolvens_XB1A.peg.2547,fig|Bovatus_CL02T12C04.peg.3326,fig|Bovatus_NLAE-zl-C11.peg.2223,fig|Bovatus_NLAE-zl-C34.peg.2310,fig|Bovatus_NLAE-zl-H304.peg.3197,fig|Bovatus_NLAE-zl-H361.peg.2752,fig|Bovatus_NLAE-zl-H59.peg.3513,fig|Bovatus_NLAE-zl-H73.peg.3516,fig|Bxylanisolvens_CL03T12C04.peg.2447,fig|Bxylanisolvens_NLAE-zl-C182.peg.2503,fig|Bxylanisolvens_NLAE-zl-C29.peg.2364,fig|Bxylanisolvens_NLAE-zl-C339.peg.2555,fig|Bxylanisolvens_NLAE-zl-G310.peg.2555,fig|Bxylanisolvens_NLAE-zl-G421.peg.2561,fig|Bxylanisolvens_NLAE-zl-H194.peg.2395,fig|Bxylanisolvens_NLAE-zl-P352.peg.2376,fig|Bxylanisolvens_NLAE-zl-P393.peg.2613,fig|Bxylanisolvens_NLAE-zl-P727.peg.2200,fig|Bxylanisolvens_NLAE-zl-P732.peg.2470,fig|Bxylanisolvens_NLAE-zl-P736.peg.2973"	"10417-11559"	"31249-34677"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.2719,fig|Bacteroides_2_1_22.peg.2764,fig|Bacteroides_2_2_4.peg.2777,fig|Bacteroides_3_1_23.peg.735,fig|Bacteroides_D1.peg.2548,fig|Bacteroides_D22.peg.2622,fig|Bacteroides_D2.peg.2957,fig|Bacteroides_ovatus_3_8_47FAA.peg.2697,fig|Bacteroides_ovatus_ATCC_8483.peg.2289,fig|Bacteroides_ovatus_CL03T12C18.peg.2902,fig|Bacteroides_ovatus_SD_CC_2a.peg.2398,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4189,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2410,fig|Bacteroides_xylanisolvens_XB1A.peg.2322,fig|Bovatus_CL02T12C04.peg.3184,fig|Bovatus_NLAE-zl-C11.peg.2102,fig|Bovatus_NLAE-zl-C34.peg.2188,fig|Bovatus_NLAE-zl-H304.peg.3035,fig|Bovatus_NLAE-zl-H361.peg.2592,fig|Bovatus_NLAE-zl-H59.peg.3374,fig|Bovatus_NLAE-zl-H73.peg.3371,fig|Bxylanisolvens_CL03T12C04.peg.2300,fig|Bxylanisolvens_NLAE-zl-C182.peg.2387,fig|Bxylanisolvens_NLAE-zl-C29.peg.2244,fig|Bxylanisolvens_NLAE-zl-C339.peg.2399,fig|Bxylanisolvens_NLAE-zl-G310.peg.2427,fig|Bxylanisolvens_NLAE-zl-G421.peg.2433,fig|Bxylanisolvens_NLAE-zl-H194.peg.2274,fig|Bxylanisolvens_NLAE-zl-P352.peg.2250,fig|Bxylanisolvens_NLAE-zl-P393.peg.2487,fig|Bxylanisolvens_NLAE-zl-P727.peg.2074,fig|Bxylanisolvens_NLAE-zl-P732.peg.2345,fig|Bxylanisolvens_NLAE-zl-P736.peg.2843"	"11560-12696"	"34678-38088"
